Tempo de execucao, Iteracoes, Tamanho da entrada, Tamanho Populacao original, Tamanho Populacao no fim, Melhor fit, Tamanho da mochila, Quantidade de sorteados para crossover, Quantidade de crossovers, Quantidade de mutacoes
79, 5108099, 1320, 1, 2, 0, 1000, 100, 75856972, 379642
43, 2763152, 1320, 2, 4, 0, 1000, 100, 41096629, 205391
42, 2675368, 1320, 3, 6, 0, 1000, 100, 39808434, 199455
40, 2564384, 1320, 4, 8, 0, 1000, 100, 38021747, 190260
35, 2175888, 1320, 5, 10, 0, 1000, 100, 32274519, 161513
41, 2546629, 1320, 6, 12, 0, 1000, 100, 37827555, 188738
39, 2449038, 1320, 7, 14, 0, 1000, 100, 36371644, 182125
27, 1688683, 1320, 8, 16, 0, 1000, 100, 25153758, 126089
36, 2221330, 1320, 9, 18, 0, 1000, 100, 33062372, 165245
30, 1846672, 1320, 10, 20, 0, 1000, 100, 27453265, 136749
42, 2568524, 1320, 11, 22, 0, 1000, 100, 38188413, 191070
45, 2645267, 1320, 12, 24, 0, 1000, 100, 39227662, 196089
36, 2127038, 1320, 13, 26, 0, 1000, 100, 31571425, 157875
42, 2482515, 1320, 14, 28, 0, 1000, 100, 36908611, 184563
35, 2044979, 1320, 15, 30, 0, 1000, 100, 30379624, 152176
24, 1426141, 1320, 16, 32, 0, 1000, 100, 21116536, 105966
28, 1651565, 1320, 17, 34, 0, 1000, 100, 24513882, 122417
41, 2347452, 1320, 18, 36, 0, 1000, 100, 34856418, 174139
40, 2324259, 1320, 19, 38, 0, 1000, 100, 34506075, 173342
35, 1996189, 1320, 20, 40, 0, 1000, 100, 29655180, 148419
34, 1946113, 1320, 21, 42, 0, 1000, 100, 28868112, 144688
26, 1510489, 1320, 22, 44, 0, 1000, 100, 22444131, 111912
35, 1997531, 1320, 23, 46, 0, 1000, 100, 29657981, 148275
40, 2262327, 1320, 24, 48, 0, 1000, 100, 33512935, 167375
40, 2260973, 1320, 25, 50, 0, 1000, 100, 33591582, 168458
33, 1874848, 1320, 26, 52, 0, 1000, 100, 27833268, 139262
46, 2588747, 1320, 27, 54, 0, 1000, 100, 38495184, 192042
28, 1576301, 1320, 28, 56, 0, 1000, 100, 23392468, 116832
34, 1872126, 1320, 29, 58, 0, 1000, 100, 27790760, 139266
32, 1731487, 1320, 30, 60, 0, 1000, 100, 25718136, 127620
46, 2521250, 1320, 31, 62, 0, 1000, 100, 37465157, 187207
35, 1933889, 1320, 32, 64, 0, 1000, 100, 28736111, 144282
24, 1307034, 1320, 33, 66, 0, 1000, 100, 19442133, 96682
48, 2647064, 1320, 34, 68, 0, 1000, 100, 39364886, 196704
33, 1808808, 1320, 35, 70, 0, 1000, 100, 26798400, 134067
37, 1965563, 1320, 36, 72, 0, 1000, 100, 29139585, 145765
41, 2233004, 1320, 37, 74, 0, 1000, 100, 33127914, 165819
27, 1445968, 1320, 38, 76, 0, 1000, 100, 21523998, 107454
37, 1952287, 1320, 39, 78, 0, 1000, 100, 28973787, 144693
30, 1596508, 1320, 40, 80, 0, 1000, 100, 23739980, 118414
31, 1644558, 1320, 41, 82, 0, 1000, 100, 24395980, 121588
36, 1917104, 1320, 42, 84, 0, 1000, 100, 28427887, 142397
47, 2478394, 1320, 43, 86, 0, 1000, 100, 36770182, 184025
31, 1664757, 1320, 44, 88, 0, 1000, 100, 24757525, 123471
44, 2308221, 1320, 45, 90, 0, 1000, 100, 34293833, 171676
24, 1246373, 1320, 46, 92, 0, 1000, 100, 18497891, 92439
36, 1874051, 1320, 47, 94, 0, 1000, 100, 27822732, 139569
37, 1913846, 1320, 48, 96, 0, 1000, 100, 28323187, 141745
39, 2019406, 1320, 49, 98, 0, 1000, 100, 30015291, 149961
39, 2068982, 1320, 50, 100, 0, 1000, 100, 30721177, 153273
29, 1499456, 1320, 51, 102, 0, 1000, 100, 22239092, 111420
29, 1474589, 1320, 52, 104, 0, 1000, 100, 21894693, 109316
36, 1837530, 1320, 53, 106, 0, 1000, 100, 27303644, 136560
30, 1584339, 1320, 54, 108, 0, 1000, 100, 23550642, 117642
32, 1586127, 1320, 55, 110, 0, 1000, 100, 23622430, 117219
38, 1920185, 1320, 56, 112, 0, 1000, 100, 28448384, 141745
33, 1660940, 1320, 57, 114, 0, 1000, 100, 24673146, 123429
37, 1888937, 1320, 58, 116, 0, 1000, 100, 28059398, 140450
40, 2003727, 1320, 59, 118, 0, 1000, 100, 29747940, 148130
33, 1635967, 1320, 60, 120, 0, 1000, 100, 24257667, 120499
39, 1938367, 1320, 61, 122, 0, 1000, 100, 28748432, 143378
37, 1846467, 1320, 62, 124, 0, 1000, 100, 27481634, 137740
42, 2055246, 1320, 63, 126, 0, 1000, 100, 30575625, 152495
38, 1905099, 1320, 64, 128, 0, 1000, 100, 28361569, 141421
39, 1943176, 1320, 65, 130, 0, 1000, 100, 28906080, 144247
39, 1939217, 1320, 66, 132, 0, 1000, 100, 28836090, 143896
40, 1947749, 1320, 67, 134, 0, 1000, 100, 28941351, 144817
31, 1509589, 1320, 68, 136, 0, 1000, 100, 22434064, 112140
44, 2109466, 1320, 69, 138, 0, 1000, 100, 31274696, 156701
43, 2044383, 1320, 70, 140, 0, 1000, 100, 30389827, 151760
42, 1997248, 1320, 71, 142, 0, 1000, 100, 29587670, 147767
50, 2428878, 1320, 72, 144, 0, 1000, 100, 36082848, 179979
34, 1648192, 1320, 73, 146, 0, 1000, 100, 24480211, 121672
41, 1936688, 1320, 74, 148, 0, 1000, 100, 28766478, 143530
43, 2043453, 1320, 75, 150, 0, 1000, 100, 30314640, 151108
44, 2134155, 1320, 76, 152, 0, 1000, 100, 31765196, 159024
39, 1867417, 1320, 77, 154, 0, 1000, 100, 27720434, 138283
49, 2363951, 1320, 78, 156, 0, 1000, 100, 35114107, 175607
49, 2308809, 1320, 79, 158, 0, 1000, 100, 34314481, 172131
37, 1738291, 1320, 80, 160, 0, 1000, 100, 25765616, 128926
54, 2532996, 1320, 81, 162, 0, 1000, 100, 37628671, 188264
44, 2093397, 1320, 82, 164, 0, 1000, 100, 31104103, 155396
42, 1992881, 1320, 83, 166, 0, 1000, 100, 29613233, 148405
43, 1993945, 1320, 84, 168, 0, 1000, 100, 29588376, 148231
44, 2071209, 1320, 85, 170, 0, 1000, 100, 30718555, 153615
45, 2110856, 1320, 86, 172, 0, 1000, 100, 31346777, 156610
49, 2265975, 1320, 87, 174, 0, 1000, 100, 33663669, 168451
54, 2447650, 1320, 88, 176, 0, 1000, 100, 36325907, 182098
34, 1545175, 1320, 89, 178, 0, 1000, 100, 22972711, 115337
36, 1655425, 1320, 90, 180, 0, 1000, 100, 24576468, 122398
42, 1916478, 1320, 91, 182, 0, 1000, 100, 28478828, 141918
52, 2419916, 1320, 92, 184, 0, 1000, 100, 35962009, 179954
60, 2805540, 1320, 93, 186, 0, 1000, 100, 41686587, 207686
46, 2118643, 1320, 94, 188, 0, 1000, 100, 31412282, 156691
42, 1941259, 1320, 95, 190, 0, 1000, 100, 28820306, 144036
48, 2186801, 1320, 96, 192, 0, 1000, 100, 32447283, 162681
46, 2045784, 1320, 97, 194, 0, 1000, 100, 30309717, 150814
36, 1646442, 1320, 98, 196, 0, 1000, 100, 24488360, 122356
51, 2295685, 1320, 99, 198, 0, 1000, 100, 34105148, 170350
43, 1978674, 1320, 100, 200, 0, 1000, 100, 29378144, 147490
49, 2260472, 1320, 101, 202, 0, 1000, 100, 33571695, 167008
45, 2008480, 1320, 102, 204, 0, 1000, 100, 29817228, 148903
52, 2353910, 1320, 103, 206, 0, 1000, 100, 34953133, 174322
31, 1413050, 1320, 104, 208, 0, 1000, 100, 20949130, 104676
40, 1739892, 1320, 105, 210, 0, 1000, 100, 25839026, 129162
35, 1575306, 1320, 106, 212, 0, 1000, 100, 23323883, 116972
41, 1825205, 1320, 107, 214, 0, 1000, 100, 27081942, 135067
42, 1893679, 1320, 108, 216, 0, 1000, 100, 28092044, 140904
38, 1672594, 1320, 109, 218, 0, 1000, 100, 24848356, 124128
44, 1949205, 1320, 110, 220, 0, 1000, 100, 29018782, 144596
51, 2198397, 1320, 111, 222, 0, 1000, 100, 32616072, 163159
47, 2080848, 1320, 112, 224, 0, 1000, 100, 30848345, 154476
42, 1878389, 1320, 113, 226, 0, 1000, 100, 27928962, 140094
48, 2083543, 1320, 114, 228, 0, 1000, 100, 30953773, 154917
48, 2150267, 1320, 115, 230, 0, 1000, 100, 31958345, 159885
47, 2096389, 1320, 116, 232, 0, 1000, 100, 31098125, 155903
44, 1888960, 1320, 117, 234, 0, 1000, 100, 28054653, 139410
45, 1878708, 1320, 118, 236, 0, 1000, 100, 27938891, 139767
43, 1913322, 1320, 119, 238, 0, 1000, 100, 28459920, 142185
46, 1998597, 1320, 120, 240, 0, 1000, 100, 29629770, 148271
42, 1756221, 1320, 121, 242, 0, 1000, 100, 26070845, 131022
46, 2031248, 1320, 122, 244, 0, 1000, 100, 30160878, 150658
47, 1982674, 1320, 123, 246, 0, 1000, 100, 29408436, 147456
50, 2059565, 1320, 124, 248, 0, 1000, 100, 30508279, 152393
32, 1330493, 1320, 125, 250, 0, 1000, 100, 19850995, 99434
38, 1684725, 1320, 126, 252, 0, 1000, 100, 25031950, 125221
47, 1988602, 1320, 127, 254, 0, 1000, 100, 29563856, 147688
57, 2373219, 1320, 128, 256, 0, 1000, 100, 35268154, 176276
46, 1920761, 1320, 129, 258, 0, 1000, 100, 28583948, 142448
51, 2198462, 1320, 130, 260, 0, 1000, 100, 32706445, 163697
42, 1747875, 1320, 131, 262, 0, 1000, 100, 26007708, 130027
55, 2372347, 1320, 132, 264, 0, 1000, 100, 35192427, 175144
36, 1532975, 1320, 133, 266, 0, 1000, 100, 22787726, 113554
41, 1801788, 1320, 134, 268, 0, 1000, 100, 26730245, 133189
49, 2036482, 1320, 135, 270, 0, 1000, 100, 30221779, 151015
51, 2088720, 1320, 136, 272, 0, 1000, 100, 31041417, 155083
42, 1764583, 1320, 137, 274, 0, 1000, 100, 26152413, 131052
38, 1536743, 1320, 138, 276, 0, 1000, 100, 22873884, 114193
51, 2130930, 1320, 139, 278, 0, 1000, 100, 31636430, 158532
38, 1543058, 1320, 140, 280, 0, 1000, 100, 22903296, 114666
45, 1839195, 1320, 141, 282, 0, 1000, 100, 27341781, 137204
37, 1568880, 1320, 142, 284, 0, 1000, 100, 23272092, 116130
36, 1485090, 1320, 143, 286, 0, 1000, 100, 22054269, 110279
42, 1744252, 1320, 144, 288, 0, 1000, 100, 25874849, 129457
43, 1742314, 1320, 145, 290, 0, 1000, 100, 25912361, 129845
50, 2121402, 1320, 146, 292, 0, 1000, 100, 31516287, 157087
40, 1639412, 1320, 147, 294, 0, 1000, 100, 24323825, 121890
50, 2029232, 1320, 148, 296, 0, 1000, 100, 30161261, 151102
35, 1415160, 1320, 149, 298, 0, 1000, 100, 20993765, 105064
54, 2196849, 1320, 150, 300, 0, 1000, 100, 32638372, 163483
53, 2214199, 1320, 151, 302, 0, 1000, 100, 32867406, 164502
53, 2136653, 1320, 152, 304, 0, 1000, 100, 31720566, 158004
49, 2029302, 1320, 153, 306, 0, 1000, 100, 30035827, 150018
63, 2614832, 1320, 154, 308, 0, 1000, 100, 38837530, 194698
52, 1999383, 1320, 155, 310, 0, 1000, 100, 29655519, 148417
50, 1983955, 1320, 156, 312, 0, 1000, 100, 29512149, 147432
51, 1985051, 1320, 157, 314, 0, 1000, 100, 29467681, 147065
58, 2273106, 1320, 158, 316, 0, 1000, 100, 33689325, 168236
46, 1820490, 1320, 159, 318, 0, 1000, 100, 26965358, 134568
45, 1817395, 1320, 160, 320, 0, 1000, 100, 26931216, 134638
47, 1818962, 1320, 161, 322, 0, 1000, 100, 27045758, 134866
41, 1640149, 1320, 162, 324, 0, 1000, 100, 24373881, 121640
44, 1630939, 1320, 163, 326, 0, 1000, 100, 24221213, 120622
40, 1551420, 1320, 164, 328, 0, 1000, 100, 23011648, 115330
55, 2073328, 1320, 165, 330, 0, 1000, 100, 30747223, 154180
42, 1639113, 1320, 166, 332, 0, 1000, 100, 24314586, 121479
36, 1376719, 1320, 167, 334, 0, 1000, 100, 20429228, 102022
47, 1745733, 1320, 168, 336, 0, 1000, 100, 25863230, 128957
44, 1728222, 1320, 169, 338, 0, 1000, 100, 25617712, 127867
55, 2153215, 1320, 170, 340, 0, 1000, 100, 31888584, 159686
47, 1786764, 1320, 171, 342, 0, 1000, 100, 26472912, 132972
61, 2401373, 1320, 172, 344, 0, 1000, 100, 35669490, 178461
48, 1733820, 1320, 173, 346, 0, 1000, 100, 25691165, 127767
51, 2031710, 1320, 174, 348, 0, 1000, 100, 30165894, 150649
72, 2674640, 1320, 175, 350, 0, 1000, 100, 39712524, 198504
48, 1798919, 1320, 176, 352, 0, 1000, 100, 26707811, 133807
49, 1826957, 1320, 177, 354, 0, 1000, 100, 27094507, 135911
61, 2300602, 1320, 178, 356, 0, 1000, 100, 34210295, 171362
51, 1923114, 1320, 179, 358, 0, 1000, 100, 28609659, 143555
46, 1778323, 1320, 180, 360, 0, 1000, 100, 26421677, 132036
47, 1791338, 1320, 181, 362, 0, 1000, 100, 26580792, 132025
55, 2150554, 1320, 182, 364, 0, 1000, 100, 31893484, 159277
47, 1783156, 1320, 183, 366, 0, 1000, 100, 26542531, 132630
49, 1869770, 1320, 184, 368, 0, 1000, 100, 27741361, 138590
59, 2175198, 1320, 185, 370, 0, 1000, 100, 32360097, 162081
37, 1395157, 1320, 186, 372, 0, 1000, 100, 20700124, 103768
43, 1614501, 1320, 187, 374, 0, 1000, 100, 23967162, 119481
51, 1889427, 1320, 188, 376, 0, 1000, 100, 28052082, 140712
57, 2114371, 1320, 189, 378, 0, 1000, 100, 31400230, 157288
59, 2093245, 1320, 190, 380, 0, 1000, 100, 31080341, 155528
50, 1899367, 1320, 191, 382, 0, 1000, 100, 28153123, 140509
53, 1947545, 1320, 192, 384, 0, 1000, 100, 28939424, 144770
46, 1618457, 1320, 193, 386, 0, 1000, 100, 24062805, 120337
61, 2196463, 1320, 194, 388, 0, 1000, 100, 32584982, 162381
64, 2259819, 1320, 195, 390, 0, 1000, 100, 33583725, 168023
55, 2101889, 1320, 196, 392, 0, 1000, 100, 31220989, 156279
43, 1590551, 1320, 197, 394, 0, 1000, 100, 23642346, 118073
48, 1742717, 1320, 198, 396, 0, 1000, 100, 25923272, 129273
65, 2389423, 1320, 199, 398, 0, 1000, 100, 35432216, 176959
54, 1888463, 1320, 200, 400, 0, 1000, 100, 28064220, 140307
53, 1915327, 1320, 201, 402, 0, 1000, 100, 28356335, 141181
49, 1848381, 1320, 202, 404, 0, 1000, 100, 27490978, 137216
46, 1625069, 1320, 203, 406, 0, 1000, 100, 24180989, 120619
59, 2108288, 1320, 204, 408, 0, 1000, 100, 31309323, 156991
58, 2021451, 1320, 205, 410, 0, 1000, 100, 30013085, 150511
53, 1835318, 1320, 206, 412, 0, 1000, 100, 27242130, 136578
49, 1750953, 1320, 207, 414, 0, 1000, 100, 25963946, 129574
41, 1415031, 1320, 208, 416, 0, 1000, 100, 21048382, 105129
52, 1841712, 1320, 209, 418, 0, 1000, 100, 27384479, 136360
49, 1776669, 1320, 210, 420, 0, 1000, 100, 26396390, 132624
45, 1565896, 1320, 211, 422, 0, 1000, 100, 23223581, 115837
46, 1679392, 1320, 212, 424, 0, 1000, 100, 24951501, 124995
48, 1653841, 1320, 213, 426, 0, 1000, 100, 24568568, 121990
54, 1867558, 1320, 214, 428, 0, 1000, 100, 27761204, 138603
40, 1469787, 1320, 215, 430, 0, 1000, 100, 21772273, 108707
54, 1990487, 1320, 216, 432, 0, 1000, 100, 29550486, 147167
59, 2030014, 1320, 217, 434, 0, 1000, 100, 30260918, 151633
58, 1990081, 1320, 218, 436, 0, 1000, 100, 29576827, 148797
41, 1379818, 1320, 219, 438, 0, 1000, 100, 20441237, 102332
65, 2301232, 1320, 220, 440, 0, 1000, 100, 34181993, 170337
42, 1423171, 1320, 221, 442, 0, 1000, 100, 21108524, 105466
58, 2055036, 1320, 222, 444, 0, 1000, 100, 30513434, 152417
48, 1542796, 1320, 223, 446, 0, 1000, 100, 22843549, 114499
43, 1444011, 1320, 224, 448, 0, 1000, 100, 21423659, 107274
63, 2076082, 1320, 225, 450, 0, 1000, 100, 30804841, 154665
67, 2239345, 1320, 226, 452, 0, 1000, 100, 33287385, 166912
65, 2203745, 1320, 227, 454, 0, 1000, 100, 32687070, 163997
54, 1906204, 1320, 228, 456, 0, 1000, 100, 28321376, 141646
54, 1947516, 1320, 229, 458, 0, 1000, 100, 28917971, 145176
63, 2053267, 1320, 230, 460, 0, 1000, 100, 30525715, 152518
53, 1709375, 1320, 231, 462, 0, 1000, 100, 25376848, 127024
75, 2601216, 1320, 232, 464, 0, 1000, 100, 38634047, 193518
62, 2141602, 1320, 233, 466, 0, 1000, 100, 31812258, 158445
54, 1804396, 1320, 234, 468, 0, 1000, 100, 26793416, 134385
56, 1867413, 1320, 235, 470, 0, 1000, 100, 27706351, 138550
51, 1670629, 1320, 236, 472, 0, 1000, 100, 24788460, 123535
54, 1917305, 1320, 237, 474, 0, 1000, 100, 28500059, 142754
62, 2209409, 1320, 238, 476, 0, 1000, 100, 32796409, 163972
58, 1970800, 1320, 239, 478, 0, 1000, 100, 29276027, 147028
53, 1715761, 1320, 240, 480, 0, 1000, 100, 25497591, 127243
59, 1873651, 1320, 241, 482, 0, 1000, 100, 27779619, 139009
69, 2201909, 1320, 242, 484, 0, 1000, 100, 32725294, 164241
51, 1625212, 1320, 243, 486, 0, 1000, 100, 24161249, 121044
50, 1616412, 1320, 244, 488, 0, 1000, 100, 24009368, 120501
56, 1870544, 1320, 245, 490, 0, 1000, 100, 27847354, 139825
55, 1783408, 1320, 246, 492, 0, 1000, 100, 26514176, 132352
53, 1741489, 1320, 247, 494, 0, 1000, 100, 25832800, 129148
50, 1611696, 1320, 248, 496, 0, 1000, 100, 23882746, 119475
47, 1545798, 1320, 249, 498, 0, 1000, 100, 22918216, 115020
69, 2199546, 1320, 250, 500, 0, 1000, 100, 32707012, 163954
60, 2020983, 1320, 251, 502, 0, 1000, 100, 30008699, 150321
65, 2063411, 1320, 252, 504, 0, 1000, 100, 30686587, 153381
62, 1924091, 1320, 253, 506, 0, 1000, 100, 28573426, 142338
49, 1555084, 1320, 254, 508, 0, 1000, 100, 23045069, 115492
58, 1851485, 1320, 255, 510, 0, 1000, 100, 27519687, 137137
53, 1678247, 1320, 256, 512, 0, 1000, 100, 24975585, 125258
57, 1811182, 1320, 257, 514, 0, 1000, 100, 26843466, 133794
65, 2082100, 1320, 258, 516, 0, 1000, 100, 30913755, 154583
76, 2346771, 1320, 259, 518, 0, 1000, 100, 34891310, 174619
69, 2102510, 1320, 260, 520, 0, 1000, 100, 31292166, 157046
51, 1638646, 1320, 261, 522, 0, 1000, 100, 24323501, 121648
52, 1644491, 1320, 262, 524, 0, 1000, 100, 24374345, 122288
78, 2380352, 1320, 263, 526, 0, 1000, 100, 35399734, 177787
63, 1915461, 1320, 264, 528, 0, 1000, 100, 28410564, 141955
58, 1996994, 1320, 265, 530, 0, 1000, 100, 29660527, 148704
75, 2354059, 1320, 266, 532, 0, 1000, 100, 34961252, 174479
65, 2143539, 1320, 267, 534, 0, 1000, 100, 31825475, 159164
53, 1669629, 1320, 268, 536, 0, 1000, 100, 24721652, 123779
54, 1644741, 1320, 269, 538, 0, 1000, 100, 24394635, 121864
66, 1980034, 1320, 270, 540, 0, 1000, 100, 29429077, 147184
75, 2460837, 1320, 271, 542, 0, 1000, 100, 36522652, 181994
79, 2457491, 1320, 272, 544, 0, 1000, 100, 36499197, 182500
53, 1799623, 1320, 273, 546, 0, 1000, 100, 26786140, 134422
66, 2004415, 1320, 274, 548, 0, 1000, 100, 29775796, 148361
58, 1873181, 1320, 275, 550, 0, 1000, 100, 27801940, 138853
67, 2122765, 1320, 276, 552, 0, 1000, 100, 31488629, 158291
65, 2023810, 1320, 277, 554, 0, 1000, 100, 29983134, 149401
74, 2263259, 1320, 278, 556, 0, 1000, 100, 33607397, 167163
69, 1934921, 1320, 279, 558, 0, 1000, 100, 28803307, 143763
64, 1906886, 1320, 280, 560, 0, 1000, 100, 28303704, 141523
52, 1653818, 1320, 281, 562, 0, 1000, 100, 24614078, 123060
58, 1723838, 1320, 282, 564, 0, 1000, 100, 25592570, 128381
51, 1532791, 1320, 283, 566, 0, 1000, 100, 22764997, 113565
54, 1586787, 1320, 284, 568, 0, 1000, 100, 23589283, 117814
90, 2536194, 1320, 285, 570, 0, 1000, 100, 37691577, 188039
76, 2234267, 1320, 286, 572, 0, 1000, 100, 33183804, 166466
50, 1457658, 1320, 287, 574, 0, 1000, 100, 21695235, 108739
60, 1806874, 1320, 288, 576, 0, 1000, 100, 26872867, 134340
55, 1684403, 1320, 289, 578, 0, 1000, 100, 25001142, 124915
64, 1893512, 1320, 290, 580, 0, 1000, 100, 28095561, 140942
70, 2175869, 1320, 291, 582, 0, 1000, 100, 32316708, 160917
63, 1902550, 1320, 292, 584, 0, 1000, 100, 28213330, 141193
61, 1763090, 1320, 293, 586, 0, 1000, 100, 26184280, 131182
54, 1629843, 1320, 294, 588, 0, 1000, 100, 24206289, 121311
54, 1694296, 1320, 295, 590, 0, 1000, 100, 25095655, 124868
69, 1986268, 1320, 296, 592, 0, 1000, 100, 29529587, 148477
69, 1974410, 1320, 297, 594, 0, 1000, 100, 29278782, 146500
71, 1952048, 1320, 298, 596, 0, 1000, 100, 28933825, 144525
83, 2407397, 1320, 299, 598, 0, 1000, 100, 35745564, 178663
